ocel:eid,ocel:activity,ocel:timestamp,ocel:type:MaintenanceRecord,ocel:type:LogBatch,ocel:type:ProductionBatch,ocel:type:TimberOutput,ocel:type:QualityReport,ocel:type:Mill,CaseID,Mill,LogsProcessed,VolumeM3,ProductionM3,YieldPercent,DowntimeHours,MaintenanceHours,MoistureDefectRate,TwistingDefectRate,BlueStainRate,KnotDefectRate,CrackDefectRate,QualityGradeA,ShiftType,OperatorID,EquipmentStatus,Hour,DayOfWeek,Conformance_Label,Violation_Types
E000026,ProductionComplete,11/01/2021 07:42,,,BATCH_CASE_0001_003,,,,CASE_0001,R250,219,40.91,17.77,43.44,0.34,0.03,3.06,1.82,3.54,2.88,1.54,85.99,Day,OP_003,Operational,7,0,1,QR-2|TR-2
E000027,QualityInspection,11/01/2021 10:30,,,,,QR_CASE_0001_004,,CASE_0001,R250,77,48.48,17.96,37.05,1.21,0.42,2.32,2.23,3.67,0.61,0.53,90.88,Day,OP_009,Operational,10,0,1,QR-2|TR-2
E000028,ProcessLogs,11/01/2021 15:05,,,BATCH_CASE_0001_005,,,,CASE_0001,R250,163,39.86,25.73,64.55,1.25,0.34,3.72,1.9,1.04,1.24,2.55,92.88,Day,OP_009,Operational,15,0,1,QR-2|TR-2
E000029,StartProduction,11/01/2021 17:32,,,BATCH_CASE_0001_006,,,,CASE_0001,R250,69,45.1,17.09,37.89,0.48,0.13,13.21,1.66,1.32,14.78,3.33,60.12,Day,OP_013,Operational,17,0,1,QR-2|TR-2
E000030,StartProduction,11/01/2021 20:49,,,BATCH_CASE_0001_007,,,,CASE_0001,R250,197,27.78,7.04,25.34,0.45,0.09,4.18,2.15,2.94,4.0,3.59,82.14,Night,OP_005,Operational,20,0,1,QR-2|TR-2
E000031,ProcessLogs,11/01/2021 22:51,,,BATCH_CASE_0001_008,,,,CASE_0001,R250,153,45.66,32.52,71.22,0.8,0.36,3.31,0.34,1.71,4.33,0.73,87.36,Night,OP_006,Operational,22,0,1,QR-2|TR-2
E000032,StartProduction,11/02/2021 00:26,,,BATCH_CASE_0001_009,,,,CASE_0001,R250,147,22.47,17.37,77.3,0.38,0.02,14.23,0.27,3.83,9.67,0.99,71.44,Night,OP_010,Operational,0,1,1,QR-2|TR-2
E000033,ProcessLogs,11/02/2021 01:36,,,BATCH_CASE_0001_010,,,,CASE_0001,R250,79,37.33,13.81,36.99,1.05,0.4,0.84,2.43,2.99,0.57,3.28,95.0,Night,OP_002,Operational,1,1,1,QR-2|TR-2
E000034,ProcessLogs,11/02/2021 05:06,,,BATCH_CASE_0001_011,,,,CASE_0001,R250,146,28.63,18.42,20.33,1.25,0.15,1.51,2.74,3.22,3.98,2.26,81.0,Night,OP_009,Operational,5,1,1,QR-2|TR-2
E000035,MaintenanceUnplanned,11/02/2021 07:29,MR_R250_012,,,,,,CASE_0001,R250,215,25.74,18.46,71.72,0.82,0.8,4.14,2.83,1.74,3.67,3.86,80.48,Day,OP_013,Maintenance,7,1,1,QR-2|TR-2
E000036,ConveyorMaintenance,11/02/2021 12:01,MR_R250_013,,,,,,CASE_0001,R250,161,50.94,29.33,57.58,1.47,0.92,4.67,1.12,1.8,3.75,2.28,88.01,Day,OP_006,Maintenance,12,1,1,QR-2|TR-2
E000037,QualityInspection,11/02/2021 13:31,,,,,QR_CASE_0001_014,,CASE_0001,R250,174,19.03,13.11,68.89,0.42,0.13,2.78,2.07,0.76,1.21,1.63,92.97,Day,OP_004,Operational,13,1,1,QR-2|TR-2
E000038,ShiftEnd,11/02/2021 17:07,,LOG_R250_015,,,,,CASE_0001,R250,164,49.23,14.83,30.12,0.33,0.11,1.53,2.33,1.89,2.65,1.7,93.09,Day,OP_006,Operational,17,1,1,QR-2|TR-2
E000039,ProcessLogs,11/02/2021 19:20,,,BATCH_CASE_0001_016,,,,CASE_0001,R250,114,19.99,12.93,64.68,0.18,0.05,0.93,0.87,1.94,3.62,3.91,89.25,Night,OP_005,Operational,19,1,1,QR-2|TR-2
E000040,QualitySorting,11/03/2021 00:09,,,,,QR_CASE_0001_017,,CASE_0001,R250,108,26.77,11.14,41.61,1.46,0.4,0.63,3.47,1.96,4.36,2.3,86.9,Night,OP_008,Operational,0,2,1,QR-2|TR-2
E000041,ProductionComplete,11/03/2021 01:54,,,BATCH_CASE_0001_018,,,,CASE_0001,R250,172,13.93,3.98,28.57,0.11,0.03,21.05,0.99,2.23,2.08,2.47,70.95,Night,OP_007,Operational,1,2,1,QR-2|TR-2
E000042,ProcessLogs,11/03/2021 04:26,,,BATCH_CASE_0001_019,,,,CASE_0001,R250,200,59.48,24.86,20.49,1.11,0.53,11.79,2.21,0.63,2.04,1.88,75.1,Night,OP_005,Operational,4,2,1,QR-2|TR-2
E000043,ProductionComplete,11/03/2021 08:09,,,BATCH_CASE_0001_020,,,,CASE_0001,R250,68,43.74,33.16,75.81,1.18,0.37,3.31,3.73,1.7,2.72,2.59,90.13,Day,OP_014,Operational,8,2,1,QR-2|TR-2
E000044,ProcessLogs,11/03/2021 09:12,,,BATCH_CASE_0001_021,,,,CASE_0001,R250,128,38.94,27.39,70.34,0.66,0.15,2.01,1.09,2.16,2.19,2.39,94.98,Day,OP_012,Operational,9,2,1,QR-2|TR-2
E000045,MaintenancePlanned,11/03/2021 11:05,MR_R250_022,,,,,,CASE_0001,R250,108,58.02,41.18,24.0,2.52,1.6,3.26,0.73,2.34,3.17,0.36,89.0,Day,OP_006,Maintenance,11,2,1,QR-2|TR-2
E000046,ProcessLogs,11/03/2021 12:49,,,BATCH_CASE_0001_023,,,,CASE_0001,R250,134,29.41,15.37,52.26,0.99,0.2,3.8,0.15,0.35,1.26,0.46,95.0,Day,OP_014,Operational,12,2,1,QR-2|TR-2
E000047,QualitySorting,11/03/2021 15:07,,,,,QR_CASE_0001_024,,CASE_0001,R250,188,32.02,8.96,27.98,0.78,0.24,2.49,1.77,0.21,1.34,0.52,92.57,Day,OP_015,Operational,15,2,1,QR-2|TR-2
E000048,ShiftEnd,11/03/2021 18:10,,LOG_R250_025,,,,,CASE_0001,R250,211,39.66,15.13,38.15,0.02,0.0,0.59,1.99,2.87,15.7,3.34,78.39,Night,OP_004,Operational,18,2,1,QR-2|TR-2
E000049,StartProduction,11/03/2021 20:25,,,BATCH_CASE_0001_026,,,,CASE_0001,R250,203,34.43,25.26,17.49,1.19,0.25,2.54,3.28,1.13,1.49,2.35,95.0,Night,OP_008,Operational,20,2,1,QR-2|TR-2
E000050,StartProduction,11/04/2021 00:25,,,BATCH_CASE_0001_027,,,,CASE_0001,R250,138,25.29,16.93,66.94,0.57,0.27,4.35,3.92,0.96,1.91,3.42,84.05,Night,OP_006,Operational,0,3,1,QR-2|TR-2
E000051,StartProduction,02/05/2021 00:00,,,BATCH_CASE_0002_000,,,,CASE_0002,R200,178,58.2,25.18,43.26,0.15,0.06,0.5,3.64,0.06,0.72,3.48,95.0,Night,OP_002,Operational,0,4,0,None
E000052,ProcessLogs,02/05/2021 02:24,,,BATCH_CASE_0002_001,,,,CASE_0002,R200,136,40.41,18.94,46.87,0.12,0.02,3.37,2.13,3.82,3.13,3.55,83.17,Night,OP_009,Operational,2,4,0,None
E000053,ConveyorMaintenance,02/05/2021 03:06,MR_R200_002,,,,,,CASE_0002,R200,110,40.82,30.88,75.65,3.49,3.05,2.17,0.39,2.53,4.36,1.77,91.17,Night,OP_015,Maintenance,3,4,0,None
E000054,QualityInspection,02/05/2021 04:02,,,,,QR_CASE_0002_003,,CASE_0002,R200,64,23.26,10.61,45.61,0.22,0.06,2.83,3.17,0.68,0.39,3.48,91.16,Night,OP_004,Operational,4,4,0,None
E000055,MaintenanceUnplanned,02/05/2021 06:53,MR_R200_004,,,,,,CASE_0002,R200,86,20.07,12.06,60.09,1.88,1.57,4.49,1.86,1.15,2.73,0.3,94.76,Day,OP_010,Maintenance,6,4,0,None
E000056,MaintenancePlanned,02/05/2021 08:53,MR_R200_005,,,,,,CASE_0002,R200,114,31.76,13.22,41.62,3.5,3.24,0.53,1.53,1.44,1.48,2.8,87.91,Day,OP_014,Maintenance,8,4,0,None
E000057,StartProduction,02/05/2021 11:58,,,BATCH_CASE_0002_006,,,,CASE_0002,R200,52,37.43,23.48,62.73,1.12,0.03,3.03,1.99,3.62,1.43,3.2,87.75,Day,OP_006,Operational,11,4,0,None
E000058,MaintenancePlanned,02/05/2021 13:26,MR_R200_007,,,,,,CASE_0002,R200,208,21.03,14.0,66.57,2.8,2.35,0.68,0.39,2.51,0.2,3.15,89.05,Day,OP_006,Maintenance,13,4,0,None
E000059,ProcessLogs,02/05/2021 16:35,,,BATCH_CASE_0002_008,,,,CASE_0002,R200,125,24.99,11.96,47.86,0.3,0.12,4.38,1.46,2.01,1.36,0.66,95.0,Day,OP_008,Operational,16,4,0,None
E000060,ProcessLogs,02/05/2021 20:46,,,BATCH_CASE_0002_009,,,,CASE_0002,R200,136,49.82,25.29,50.76,0.11,0.04,1.13,2.71,2.7,1.99,3.38,88.84,Night,OP_002,Operational,20,4,0,None
E000061,ProcessLogs,02/06/2021 00:02,,,BATCH_CASE_0002_010,,,,CASE_0002,R200,117,35.9,17.95,50.0,1.01,0.34,2.92,3.29,3.76,0.54,0.94,83.54,Night,OP_015,Operational,0,5,0,None
E000062,ShiftEnd,02/06/2021 04:10,,LOG_R200_011,,,,,CASE_0002,R200,206,19.51,5.56,28.5,1.24,0.56,1.51,1.63,0.56,4.73,1.22,90.84,Night,OP_002,Operational,4,5,0,None
E000063,ShiftEnd,02/06/2021 06:04,,LOG_R200_012,,,,,CASE_0002,R200,84,28.21,12.81,45.41,1.42,0.49,2.7,2.35,2.91,4.43,2.62,88.16,Day,OP_010,Operational,6,5,0,None
E000064,ProcessLogs,02/06/2021 08:16,,,BATCH_CASE_0002_013,,,,CASE_0002,R200,58,43.89,16.22,36.96,0.67,0.08,1.81,3.92,1.47,4.51,2.58,80.52,Day,OP_005,Operational,8,5,0,None
E000065,LogShortage,02/06/2021 09:33,,LOG_R200_014,,,,,CASE_0002,R200,166,12.77,4.68,36.65,0.96,0.47,0.25,1.33,3.96,3.93,0.82,93.78,Day,OP_009,Operational,9,5,0,None
E000066,ShiftEnd,02/06/2021 11:00,,LOG_R200_015,,,,,CASE_0002,R200,109,25.09,8.31,33.12,1.35,0.0,4.29,0.58,0.52,1.25,0.7,95.0,Day,OP_001,Operational,11,5,0,None
E000067,ShiftEnd,02/06/2021 12:19,,LOG_R200_016,,,,,CASE_0002,R200,110,38.62,9.99,25.87,0.4,0.03,2.1,0.45,0.25,2.24,1.45,95.0,Day,OP_008,Operational,12,5,0,None
E000068,StartProduction,02/06/2021 15:14,,,BATCH_CASE_0002_017,,,,CASE_0002,R200,61,45.82,34.36,74.99,0.99,0.15,3.22,0.12,3.99,4.24,1.71,82.25,Day,OP_012,Operational,15,5,0,None
E000069,ProcessLogs,02/06/2021 18:59,,,BATCH_CASE_0002_018,,,,CASE_0002,R200,70,24.75,8.21,33.17,0.19,0.06,2.93,2.85,1.52,2.99,1.18,88.8,Night,OP_007,Operational,18,5,0,None
E000070,QualityInspection,02/06/2021 20:34,,,,,QR_CASE_0002_019,,CASE_0002,R200,79,52.35,31.83,60.8,1.15,0.41,1.08,1.81,0.91,1.69,1.81,92.82,Night,OP_002,Operational,20,5,0,None
E000071,ProcessLogs,02/06/2021 22:30,,,BATCH_CASE_0002_020,,,,CASE_0002,R200,220,21.25,16.46,77.46,1.03,0.24,0.46,0.34,1.73,3.72,1.49,89.14,Night,OP_001,Operational,22,5,0,None
E000072,BreakdownMechanical,02/07/2021 01:38,MR_R200_021,,,,,,CASE_0002,R200,193,25.14,7.98,31.74,1.56,1.3,3.75,3.47,2.88,4.84,2.4,80.06,Night,OP_010,Breakdown,1,6,0,None
E000073,MaintenancePlanned,02/07/2021 04:03,MR_R200_022,,,,,,CASE_0002,R200,77,26.21,14.57,55.59,0.84,0.54,1.13,1.72,2.24,3.84,2.49,90.72,Night,OP_009,Maintenance,4,6,0,None
E000074,QualityInspection,02/07/2021 05:38,,,,,QR_CASE_0002_023,,CASE_0002,R200,218,51.13,20.3,39.7,0.27,0.09,1.54,1.36,0.02,4.35,2.27,89.96,Night,OP_003,Operational,5,6,0,None
E000075,ProcessLogs,02/07/2021 08:45,,,BATCH_CASE_0002_024,,,,CASE_0002,R200,73,46.8,17.24,36.84,0.63,0.11,1.85,2.89,3.11,2.84,0.34,84.34,Day,OP_003,Operational,8,6,0,None
E000076,ProcessLogs,02/07/2021 11:56,,,BATCH_CASE_0002_025,,,,CASE_0002,R200,70,22.15,13.6,61.4,0.73,0.16,1.37,3.02,0.46,2.15,1.13,94.71,Day,OP_008,Operational,11,6,0,None
E000077,LogShortage,02/07/2021 14:36,,LOG_R200_026,,,,,CASE_0002,R200,61,19.47,15.41,79.15,0.08,0.01,4.73,3.07,3.06,1.45,0.48,87.12,Day,OP_007,Operational,14,6,0,None
E000078,QualitySorting,02/07/2021 16:06,,,,,QR_CASE_0002_027,,CASE_0002,R200,186,44.59,23.42,52.52,1.25,0.5,0.36,3.45,0.17,0.09,3.68,95.0,Day,OP_010,Operational,16,6,0,None
E000079,QualityInspection,02/07/2021 18:32,,,,,QR_CASE_0002_028,,CASE_0002,R200,213,29.72,9.31,31.33,0.03,0.0,4.01,2.47,3.33,4.6,0.35,88.58,Night,OP_004,Operational,18,6,0,None
E000080,QualityInspection,02/07/2021 20:58,,,,,QR_CASE_0002_029,,CASE_0002,R200,184,12.09,8.81,72.87,1.12,0.12,3.9,0.31,2.53,2.65,0.78,93.33,Night,OP_006,Operational,20,6,0,None
E000081,ProcessLogs,02/08/2021 00:53,,,BATCH_CASE_0002_030,,,,CASE_0002,R200,215,50.38,19.14,37.99,0.22,0.02,3.01,3.04,2.62,0.89,3.09,87.26,Night,OP_013,Operational,0,0,0,None
E000082,ShiftEnd,02/08/2021 03:58,,LOG_R200_031,,,,,CASE_0002,R200,164,43.42,31.92,73.51,0.96,0.47,1.62,3.88,1.26,2.2,1.88,90.94,Night,OP_013,Operational,3,0,0,None
E000083,StartProduction,12/12/2015 00:00,,,BATCH_CASE_0003_000,,,,CASE_0003,R250,215,52.94,38.14,72.04,0.69,0.19,4.48,1.8,3.24,3.26,1.29,85.35,Night,OP_003,Operational,0,5,1,TR-2
E000084,ProcessLogs,12/12/2015 04:19,,,BATCH_CASE_0003_001,,,,CASE_0003,R250,137,59.08,17.51,29.64,1.06,0.53,3.05,1.46,3.67,1.94,3.1,88.6,Night,OP_001,Operational,4,5,1,TR-2
E000085,LogShortage,12/12/2015 08:15,,LOG_R250_002,,,,,CASE_0003,R250,134,12.91,8.04,62.28,0.38,0.16,3.01,0.6,0.33,3.32,3.67,87.3,Day,OP_011,Operational,8,5,1,TR-2
E000086,QualitySorting,12/12/2015 11:37,,,,,QR_CASE_0003_003,,CASE_0003,R250,71,24.1,11.02,45.73,1.22,0.41,3.69,2.74,2.11,3.23,1.69,84.83,Day,OP_006,Operational,11,5,1,TR-2
E000087,ShiftEnd,12/12/2015 13:25,,LOG_R250_004,,,,,CASE_0003,R250,174,17.98,14.38,79.98,1.27,0.06,4.18,3.53,0.15,1.68,3.07,83.31,Day,OP_007,Operational,13,5,1,TR-2
E000088,ProcessLogs,12/12/2015 14:38,,,BATCH_CASE_0003_005,,,,CASE_0003,R250,209,50.07,17.08,34.11,0.66,0.14,3.38,0.95,1.78,1.42,2.99,89.31,Day,OP_009,Operational,14,5,1,TR-2
E000089,ShiftEnd,12/12/2015 16:50,,LOG_R250_006,,,,,CASE_0003,R250,99,27.13,20.92,77.11,1.48,0.34,1.41,1.53,2.11,4.83,3.27,90.03,Day,OP_003,Operational,16,5,1,TR-2
E000090,ShiftEnd,12/12/2015 20:26,,LOG_R250_007,,,,,CASE_0003,R250,145,36.84,11.29,30.65,1.27,0.54,1.43,3.05,1.09,4.53,0.59,88.98,Night,OP_015,Operational,20,5,1,TR-2
E000091,QualityInspection,12/12/2015 22:10,,,,,QR_CASE_0003_008,,CASE_0003,R250,56,29.57,13.84,46.8,0.56,0.11,0.41,0.9,1.27,0.5,2.86,93.56,Night,OP_003,Operational,22,5,1,TR-2
E000092,QualitySorting,12/12/2015 23:27,,,,,QR_CASE_0003_009,,CASE_0003,R250,170,44.2,14.42,32.62,1.06,0.24,0.03,0.32,1.02,4.17,2.2,95.0,Night,OP_009,Operational,23,5,1,TR-2
E000093,LogShortage,12/13/2015 02:15,,LOG_R250_010,,,,,CASE_0003,R250,127,14.34,5.47,38.15,0.09,0.04,2.68,2.53,2.3,3.59,1.17,82.29,Night,OP_006,Operational,2,6,1,TR-2
E000094,ProductionComplete,12/13/2015 04:02,,,BATCH_CASE_0003_011,,,,CASE_0003,R250,71,35.22,15.79,18.51,0.71,0.23,1.27,0.06,3.15,1.72,2.93,92.95,Night,OP_013,Operational,4,6,1,TR-2
E000095,ProcessLogs,12/13/2015 07:22,,,BATCH_CASE_0003_012,,,,CASE_0003,R250,61,26.32,11.48,43.62,1.03,0.51,0.91,0.54,2.86,4.72,0.15,88.2,Day,OP_013,Operational,7,6,1,TR-2
E000096,QualityInspection,12/13/2015 08:36,,,,,QR_CASE_0003_013,,CASE_0003,R250,129,34.8,27.63,79.4,0.38,0.14,0.24,1.09,3.2,2.18,1.76,95.0,Day,OP_006,Operational,8,6,1,TR-2
E000097,QualityInspection,12/13/2015 13:01,,,,,QR_CASE_0003_014,,CASE_0003,R250,144,56.06,30.03,53.57,1.2,0.44,0.39,2.41,3.29,2.73,1.28,85.76,Day,OP_011,Operational,13,6,1,TR-2
E000098,StartProduction,12/13/2015 15:01,,,BATCH_CASE_0003_015,,,,CASE_0003,R250,159,16.67,8.24,49.43,0.67,0.24,4.56,2.46,1.74,3.2,3.17,79.47,Day,OP_011,Operational,15,6,1,TR-2
E000099,QualityInspection,12/13/2015 18:08,,,,,QR_CASE_0003_016,,CASE_0003,R250,90,57.55,18.91,32.86,0.91,0.36,0.17,0.27,3.11,1.83,1.53,94.95,Night,OP_010,Operational,18,6,1,TR-2
E000100,ProductionComplete,12/13/2015 19:39,,,BATCH_CASE_0003_017,,,,CASE_0003,R250,145,31.08,9.08,29.21,0.21,0.04,1.57,1.11,3.84,0.13,0.74,93.83,Night,OP_015,Operational,19,6,1,TR-2
E000101,StartProduction,12/13/2015 22:22,,,BATCH_CASE_0003_018,,,,CASE_0003,R250,164,19.16,11.24,58.66,1.04,0.52,1.0,0.54,0.3,0.86,2.85,95.0,Night,OP_013,Operational,22,6,1,TR-2
E000102,ProductionComplete,12/14/2015 02:10,,,BATCH_CASE_0003_019,,,,CASE_0003,R250,220,26.07,7.45,28.58,0.81,0.36,4.26,2.85,3.71,3.19,3.17,81.98,Night,OP_002,Operational,2,0,1,TR-2
E000103,ProcessLogs,12/14/2015 06:57,,,BATCH_CASE_0003_020,,,,CASE_0003,R250,176,9.37,5.2,55.5,0.7,0.34,1.99,1.91,1.64,2.05,0.5,90.78,Day,OP_002,Operational,6,0,1,TR-2
E000104,ProcessLogs,12/14/2015 09:44,,,BATCH_CASE_0003_021,,,,CASE_0003,R250,82,53.65,36.44,67.92,0.96,0.09,4.83,1.73,3.64,0.28,0.5,85.51,Day,OP_003,Operational,9,0,1,TR-2
E000105,StartProduction,12/15/2019 00:00,,,BATCH_CASE_0004_000,,,,CASE_0004,R250,212,57.73,23.15,40.1,0.94,0.29,0.47,2.56,2.37,2.9,0.68,93.09,Night,OP_015,Operational,0,6,0,None
E000106,ProcessLogs,12/15/2019 03:30,,,BATCH_CASE_0004_001,,,,CASE_0004,R250,194,10.14,7.35,72.49,0.12,0.06,3.86,1.06,0.84,2.86,2.47,84.03,Night,OP_015,Operational,3,6,0,None
E000107,QualitySorting,12/15/2019 06:29,,,,,QR_CASE_0004_002,,CASE_0004,R250,214,57.75,29.78,51.57,1.21,0.41,1.49,0.29,0.24,2.2,1.94,91.85,Day,OP_010,Operational,6,6,0,None
E000108,ShiftEnd,12/15/2019 08:24,,LOG_R250_003,,,,,CASE_0004,R250,131,46.18,33.41,72.35,1.46,0.1,1.85,2.25,1.28,2.33,1.07,89.19,Day,OP_002,Operational,8,6,0,None
E000109,ProductionComplete,12/15/2019 09:29,,,BATCH_CASE_0004_004,,,,CASE_0004,R250,207,29.74,23.18,77.94,1.35,0.55,4.67,2.88,0.76,0.8,3.98,86.43,Day,OP_015,Operational,9,6,0,None
E000110,MaintenancePlanned,12/15/2019 11:05,MR_R250_005,,,,,,CASE_0004,R250,73,57.15,30.17,52.79,3.4,2.07,1.76,0.2,1.98,4.41,2.62,89.01,Day,OP_009,Maintenance,11,6,0,None
E000111,ProcessLogs,12/15/2019 11:43,,,BATCH_CASE_0004_006,,,,CASE_0004,R250,160,14.96,5.92,39.57,0.55,0.11,0.23,0.2,2.25,1.81,1.15,94.48,Day,OP_008,Operational,11,6,0,None
