Case ID,Activity,Timestamp,Object _type,Attributes
TC_00383,PackBox,2024-03-24 23:45:00,Pallet,Batch:6890
TC_00302,InspectVision,2024-02-07 03:09:00,Tube,Len:409cm
TC_00464,CoatSurface,2024-01-11 05:39:00,Batch,Batch:6890
TC_00434,InspectVision,2024-02-10 20:25:00,Batch,Diam:13mm
TC_00135,WeldJoint,2024-03-30 12:17:00,Pallet,Batch:6890
TC_00409,HoldQA,2024-01-10 11:24:00,Pallet,Diam:13mm
TC_00238,PackBox,2024-02-02 04:58:00,Tube,Diam:13mm
TC_00413,InspectVision,2024-01-28 22:19:00,Pallet,Diam:13mm
TC_00458,HoldQA,2024-02-23 20:53:00,Tube,Diam:13mm
TC_00143,PackBox,2024-01-14 19:48:00,Batch,Diam:13mm
TC_00271,CutTube,2024-03-04 19:31:00,Tube,Diam:13mm
TC_00088,ReworkWeld,2024-01-05 19:18:00,Batch,Len:409cm
TC_00258,ShipOrder,2024-03-13 06:41:00,Batch,Batch:6890
TC_00159,HoldQA,2024-02-15 09:46:00,Pallet,Batch:6890
TC_00397,ReworkWeld,2024-02-18 06:52:00,Tube,Len:409cm
TC_00091,HoldQA,2024-01-22 07:22:00,Tube,Diam:13mm
TC_00322,PackBox,2024-03-26 09:29:00,Batch,Diam:13mm
TC_00025,CutTube,2024-02-03 15:00:00,Pallet,Len:409cm
TC_00447,CutTube,2024-01-09 09:34:00,Pallet,Diam:13mm
TC_00026,CoatSurface,2024-03-24 05:39:00,Pallet,Diam:13mm
TC_00419,ReworkWeld,2024-03-13 01:30:00,Pallet,Diam:13mm
TC_00490,InspectVision,2024-03-13 04:22:00,Batch,Batch:6890
TC_00314,ShipOrder,2024-02-25 11:10:00,Pallet,Batch:6890
TC_00068,ReworkWeld,2024-02-18 05:54:00,Tube,Len:409cm
TC_00484,ReworkWeld,2024-03-16 00:47:00,Batch,Batch:6890
TC_00193,ShipOrder,2024-02-27 13:27:00,Tube,Diam:13mm
TC_00031,WeldJoint,2024-02-09 00:36:00,Batch,Diam:13mm
TC_00209,PackBox,2024-01-21 22:21:00,Batch,Len:409cm
TC_00253,InspectVision,2024-03-07 07:48:00,Tube,Len:409cm
TC_00190,WeldJoint,2024-03-02 17:12:00,Tube,Diam:13mm
TC_00397,HoldQA,2024-03-01 09:01:00,Pallet,Batch:6890
TC_00241,ReworkWeld,2024-01-30 13:15:00,Batch,Len:409cm
TC_00481,ReworkWeld,2024-02-14 00:47:00,Batch,Diam:13mm
TC_00403,PackBox,2024-02-17 22:40:00,Pallet,Len:409cm
TC_00037,InspectVision,2024-01-16 21:42:00,Pallet,Diam:13mm
TC_00102,PackBox,2024-03-03 12:45:00,Batch,Batch:6890
TC_00460,WeldJoint,2024-03-26 17:25:00,Batch,Len:409cm
TC_00048,PackBox,2024-03-06 07:32:00,Batch,Diam:13mm
TC_00262,HoldQA,2024-03-06 02:34:00,Tube,Batch:6890
TC_00480,WeldJoint,2024-03-13 01:54:00,Batch,Len:409cm
TC_00223,ReworkWeld,2024-03-30 16:47:00,Pallet,Batch:6890
TC_00474,CutTube,2024-01-23 19:18:00,Pallet,Len:409cm
TC_00026,CutTube,2024-02-16 20:22:00,Batch,Diam:13mm
TC_00086,WeldJoint,2024-02-20 20:17:00,Tube,Len:409cm
TC_00238,CoatSurface,2024-03-02 03:14:00,Batch,Batch:6890
TC_00382,HoldQA,2024-03-12 22:22:00,Batch,Len:409cm
TC_00118,PackBox,2024-01-13 12:31:00,Pallet,Batch:6890
TC_00060,ReworkWeld,2024-01-11 12:56:00,Pallet,Diam:13mm
TC_00245,ShipOrder,2024-03-06 14:13:00,Batch,Batch:6890
TC_00388,WeldJoint,2024-03-01 09:51:00,Pallet,Len:409cm
TC_00370,HoldQA,2024-03-14 12:58:00,Pallet,Len:409cm
TC_00136,ReworkWeld,2024-02-02 18:39:00,Batch,Diam:13mm
TC_00157,WeldJoint,2024-03-27 12:24:00,Tube,Diam:13mm
TC_00469,PackBox,2024-02-09 09:52:00,Pallet,Len:409cm
TC_00064,ShipOrder,2024-01-16 20:09:00,Batch,Batch:6890
TC_00469,InspectVision,2024-03-11 05:27:00,Batch,Len:409cm
TC_00070,CoatSurface,2024-02-28 16:08:00,Pallet,Diam:13mm
TC_00359,ReworkWeld,2024-03-26 14:34:00,Batch,Diam:13mm
TC_00136,ReworkWeld,2024-03-20 00:20:00,Batch,Diam:13mm
TC_00061,CoatSurface,2024-02-22 22:38:00,Tube,Batch:6890
TC_00273,CutTube,2024-01-09 14:39:00,Batch,Batch:6890
TC_00413,CoatSurface,2024-01-27 13:58:00,Pallet,Len:409cm
TC_00158,CoatSurface,2024-01-02 02:07:00,Tube,Len:409cm
TC_00460,ShipOrder,2024-03-11 07:35:00,Batch,Diam:13mm
TC_00196,HoldQA,2024-01-04 23:24:00,Pallet,Batch:6890
TC_00142,ReworkWeld,2024-03-16 07:41:00,Tube,Diam:13mm
TC_00333,HoldQA,2024-01-03 03:46:00,Batch,Diam:13mm
TC_00326,PackBox,2024-01-09 03:21:00,Pallet,Batch:6890
TC_00432,CutTube,2024-01-23 03:10:00,Tube,Len:409cm
TC_00072,ReworkWeld,2024-03-10 21:49:00,Pallet,Diam:13mm
TC_00008,HoldQA,2024-01-27 00:02:00,Batch,Batch:6890
TC_00019,CutTube,2024-01-01 11:43:00,Tube,Diam:13mm
TC_00410,PackBox,2024-03-29 04:54:00,Pallet,Batch:6890
TC_00120,InspectVision,2024-03-17 10:43:00,Tube,Diam:13mm
TC_00335,ReworkWeld,2024-03-28 03:18:00,Pallet,Diam:13mm
TC_00387,ReworkWeld,2024-03-03 19:56:00,Pallet,Batch:6890
TC_00224,CutTube,2024-02-11 01:22:00,Tube,Diam:13mm
TC_00063,ShipOrder,2024-02-15 09:47:00,Batch,Batch:6890
TC_00275,ShipOrder,2024-01-08 17:48:00,Pallet,Len:409cm
TC_00078,ReworkWeld,2024-03-07 02:46:00,Tube,Diam:13mm
TC_00008,InspectVision,2024-01-09 23:57:00,Pallet,Len:409cm
TC_00491,ShipOrder,2024-02-25 00:56:00,Batch,Diam:13mm
TC_00036,PackBox,2024-01-01 09:27:00,Tube,Diam:13mm
TC_00443,CoatSurface,2024-03-04 20:41:00,Batch,Diam:13mm
TC_00186,CutTube,2024-03-10 07:44:00,Tube,Len:409cm
TC_00491,PackBox,2024-02-11 06:29:00,Batch,Batch:6890
TC_00128,ShipOrder,2024-03-19 13:00:00,Batch,Len:409cm
TC_00073,WeldJoint,2024-03-26 03:24:00,Batch,Diam:13mm
TC_00210,PackBox,2024-02-18 09:06:00,Pallet,Diam:13mm
TC_00325,CoatSurface,2024-03-25 15:41:00,Tube,Diam:13mm
TC_00231,PackBox,2024-03-03 04:17:00,Batch,Batch:6890
TC_00238,WeldJoint,2024-01-11 17:30:00,Pallet,Diam:13mm
TC_00474,InspectVision,2024-01-09 09:45:00,Tube,Len:409cm
TC_00214,ReworkWeld,2024-02-24 23:43:00,Batch,Len:409cm
TC_00486,CoatSurface,2024-01-14 19:26:00,Batch,Batch:6890
TC_00109,HoldQA,2024-02-22 22:44:00,Batch,Diam:13mm
TC_00461,CutTube,2024-01-27 21:07:00,Batch,Len:409cm
TC_00238,WeldJoint,2024-01-21 07:16:00,Tube,Len:409cm
TC_00176,PackBox,2024-02-23 01:46:00,Pallet,Len:409cm
TC_00324,PackBox,2024-02-28 17:15:00,Batch,Diam:13mm
TC_00124,ReworkWeld,2024-01-31 20:14:00,Batch,Diam:13mm
TC_00216,PackBox,2024-02-26 08:11:00,Batch,Len:409cm
TC_00481,PackBox,2024-03-13 17:55:00,Pallet,Len:409cm
TC_00444,WeldJoint,2024-03-23 21:29:00,Pallet,Len:409cm
TC_00367,PackBox,2024-01-25 04:31:00,Pallet,Diam:13mm
TC_00158,PackBox,2024-03-16 08:44:00,Batch,Len:409cm
TC_00021,CutTube,2024-01-06 00:50:00,Tube,Batch:6890
TC_00421,ReworkWeld,2024-01-06 00:01:00,Tube,Diam:13mm
TC_00283,InspectVision,2024-02-13 21:07:00,Tube,Batch:6890
TC_00157,CutTube,2024-03-07 20:12:00,Pallet,Diam:13mm
TC_00219,ReworkWeld,2024-03-04 13:18:00,Pallet,Len:409cm
TC_00187,ShipOrder,2024-01-14 19:48:00,Tube,Len:409cm
TC_00335,CutTube,2024-02-15 17:57:00,Batch,Len:409cm
TC_00480,CutTube,2024-03-30 14:12:00,Batch,Batch:6890
TC_00213,InspectVision,2024-03-10 08:29:00,Pallet,Diam:13mm
TC_00353,ReworkWeld,2024-02-04 21:44:00,Pallet,Len:409cm
TC_00167,CutTube,2024-03-01 17:54:00,Tube,Batch:6890
TC_00263,CoatSurface,2024-01-15 17:42:00,Pallet,Diam:13mm
TC_00209,ReworkWeld,2024-03-23 19:59:00,Pallet,Batch:6890
TC_00278,WeldJoint,2024-03-16 12:23:00,Pallet,Batch:6890
TC_00326,WeldJoint,2024-02-15 06:16:00,Batch,Batch:6890
TC_00197,InspectVision,2024-01-08 04:54:00,Pallet,Batch:6890
TC_00021,CoatSurface,2024-02-13 04:11:00,Batch,Batch:6890
TC_00076,InspectVision,2024-01-17 06:48:00,Tube,Batch:6890
TC_00471,CutTube,2024-02-26 21:19:00,Tube,Diam:13mm
TC_00147,WeldJoint,2024-02-14 02:49:00,Pallet,Len:409cm
TC_00362,CoatSurface,2024-01-02 06:02:00,Tube,Diam:13mm
TC_00122,ReworkWeld,2024-03-16 22:09:00,Pallet,Len:409cm
TC_00279,ShipOrder,2024-02-06 14:42:00,Pallet,Batch:6890
TC_00382,PackBox,2024-01-06 05:30:00,Pallet,Len:409cm
TC_00372,PackBox,2024-03-20 07:21:00,Batch,Batch:6890
TC_00423,InspectVision,2024-02-13 10:21:00,Batch,Batch:6890
TC_00345,ReworkWeld,2024-02-03 06:54:00,Batch,Len:409cm
TC_00455,InspectVision,2024-02-22 20:11:00,Tube,Batch:6890
TC_00193,InspectVision,2024-02-22 11:06:00,Batch,Batch:6890
TC_00266,PackBox,2024-01-10 10:45:00,Tube,Len:409cm
TC_00500,HoldQA,2024-02-26 14:35:00,Batch,Len:409cm
TC_00089,CutTube,2024-01-31 11:55:00,Tube,Diam:13mm
TC_00130,CutTube,2024-02-24 17:11:00,Pallet,Batch:6890
TC_00225,CoatSurface,2024-01-28 16:16:00,Tube,Len:409cm
TC_00284,CutTube,2024-02-07 09:31:00,Tube,Diam:13mm
TC_00352,PackBox,2024-02-27 00:56:00,Pallet,Batch:6890
TC_00402,PackBox,2024-03-20 02:41:00,Batch,Batch:6890
TC_00381,ShipOrder,2024-03-22 07:11:00,Batch,Batch:6890
TC_00143,HoldQA,2024-02-26 02:28:00,Pallet,Len:409cm
TC_00434,CutTube,2024-01-11 06:27:00,Batch,Batch:6890
TC_00405,CoatSurface,2024-02-28 11:17:00,Batch,Batch:6890
TC_00328,CoatSurface,2024-03-28 06:48:00,Tube,Batch:6890
TC_00078,InspectVision,2024-03-14 22:22:00,Pallet,Batch:6890
TC_00375,ShipOrder,2024-02-01 04:25:00,Tube,Diam:13mm
TC_00149,CutTube,2024-02-15 17:40:00,Pallet,Batch:6890
TC_00245,HoldQA,2024-03-29 16:46:00,Pallet,Len:409cm
TC_00163,HoldQA,2024-01-22 18:31:00,Batch,Diam:13mm
TC_00397,ShipOrder,2024-01-08 15:12:00,Tube,Len:409cm
TC_00271,ReworkWeld,2024-01-24 22:46:00,Pallet,Len:409cm
TC_00412,WeldJoint,2024-01-04 07:51:00,Tube,Len:409cm
TC_00477,CutTube,2024-02-03 04:59:00,Tube,Batch:6890
TC_00338,ReworkWeld,2024-03-05 04:38:00,Batch,Batch:6890
TC_00005,ReworkWeld,2024-03-07 14:06:00,Pallet,Len:409cm
TC_00401,CoatSurface,2024-01-05 09:45:00,Pallet,Diam:13mm
TC_00051,PackBox,2024-01-22 00:41:00,Pallet,Len:409cm
TC_00003,HoldQA,2024-02-16 07:35:00,Tube,Batch:6890
TC_00266,CutTube,2024-03-09 08:50:00,Batch,Batch:6890
TC_00448,PackBox,2024-03-01 10:41:00,Tube,Diam:13mm
TC_00208,ReworkWeld,2024-02-17 04:15:00,Batch,Batch:6890
TC_00427,HoldQA,2024-01-27 21:43:00,Pallet,Len:409cm
TC_00225,CoatSurface,2024-01-11 07:26:00,Tube,Len:409cm
TC_00444,ReworkWeld,2024-01-17 21:12:00,Pallet,Diam:13mm
TC_00338,InspectVision,2024-02-10 11:40:00,Pallet,Len:409cm
TC_00404,PackBox,2024-03-30 21:17:00,Batch,Diam:13mm
TC_00388,CoatSurface,2024-02-18 01:48:00,Tube,Diam:13mm
TC_00288,WeldJoint,2024-03-30 18:46:00,Pallet,Batch:6890
TC_00368,PackBox,2024-01-06 10:13:00,Batch,Len:409cm
TC_00458,WeldJoint,2024-02-14 17:20:00,Batch,Diam:13mm
TC_00052,InspectVision,2024-01-08 10:01:00,Tube,Len:409cm
TC_00101,PackBox,2024-01-02 14:09:00,Tube,Len:409cm
TC_00482,ShipOrder,2024-03-20 06:21:00,Batch,Len:409cm
TC_00211,HoldQA,2024-03-27 07:53:00,Pallet,Batch:6890
TC_00252,PackBox,2024-03-29 05:54:00,Tube,Len:409cm
TC_00449,CoatSurface,2024-01-22 03:48:00,Batch,Diam:13mm
TC_00446,HoldQA,2024-01-28 12:58:00,Batch,Batch:6890
TC_00372,WeldJoint,2024-02-23 04:00:00,Batch,Len:409cm
TC_00013,InspectVision,2024-03-17 21:57:00,Tube,Diam:13mm
TC_00162,WeldJoint,2024-01-14 23:45:00,Batch,Batch:6890
TC_00001,InspectVision,2024-01-06 10:57:00,Batch,Diam:13mm
TC_00396,PackBox,2024-03-11 13:03:00,Batch,Len:409cm
TC_00431,CoatSurface,2024-03-26 11:51:00,Pallet,Len:409cm
TC_00338,InspectVision,2024-03-14 07:37:00,Pallet,Batch:6890
TC_00134,ReworkWeld,2024-02-12 07:47:00,Tube,Diam:13mm
TC_00282,InspectVision,2024-01-10 04:05:00,Batch,Len:409cm
TC_00160,HoldQA,2024-03-11 03:49:00,Batch,Batch:6890
TC_00217,WeldJoint,2024-01-04 05:25:00,Pallet,Batch:6890
TC_00370,CutTube,2024-01-27 10:17:00,Tube,Diam:13mm
TC_00124,PackBox,2024-01-06 21:32:00,Pallet,Len:409cm
TC_00132,PackBox,2024-03-12 02:44:00,Tube,Diam:13mm
TC_00026,ReworkWeld,2024-01-11 01:03:00,Batch,Len:409cm
TC_00389,CutTube,2024-03-21 19:13:00,Pallet,Len:409cm
TC_00104,HoldQA,2024-01-28 04:28:00,Batch,Len:409cm
TC_00116,CoatSurface,2024-01-14 15:12:00,Tube,Diam:13mm
TC_00057,CoatSurface,2024-03-18 15:34:00,Tube,Diam:13mm
TC_00056,PackBox,2024-01-25 17:39:00,Batch,Diam:13mm
TC_00167,CoatSurface,2024-02-08 19:39:00,Batch,Batch:6890
TC_00234,ReworkWeld,2024-02-17 16:13:00,Tube,Diam:13mm
TC_00162,PackBox,2024-01-22 19:45:00,Pallet,Len:409cm
TC_00432,ShipOrder,2024-01-31 00:02:00,Tube,Batch:6890
TC_00166,WeldJoint,2024-03-24 17:37:00,Batch,Diam:13mm
TC_00248,CoatSurface,2024-03-18 18:10:00,Pallet,Diam:13mm
TC_00076,PackBox,2024-01-05 06:19:00,Tube,Diam:13mm
TC_00011,HoldQA,2024-01-09 02:00:00,Tube,Batch:6890
TC_00095,ReworkWeld,2024-01-03 19:34:00,Tube,Diam:13mm
TC_00354,PackBox,2024-02-12 19:05:00,Tube,Diam:13mm
TC_00285,WeldJoint,2024-02-23 02:49:00,Pallet,Batch:6890
TC_00247,CutTube,2024-01-26 06:14:00,Pallet,Len:409cm
TC_00310,CoatSurface,2024-01-15 15:31:00,Pallet,Batch:6890
TC_00498,ReworkWeld,2024-01-27 04:50:00,Tube,Diam:13mm
TC_00460,PackBox,2024-02-10 21:37:00,Pallet,Len:409cm
TC_00455,HoldQA,2024-01-08 03:36:00,Batch,Batch:6890
TC_00407,WeldJoint,2024-01-29 15:44:00,Batch,Batch:6890
TC_00057,PackBox,2024-01-27 16:19:00,Tube,Len:409cm
TC_00208,ShipOrder,2024-01-29 14:05:00,Pallet,Diam:13mm
TC_00431,CutTube,2024-03-07 05:32:00,Batch,Len:409cm
TC_00010,ShipOrder,2024-01-15 21:27:00,Batch,Batch:6890
TC_00423,ShipOrder,2024-01-28 03:14:00,Pallet,Batch:6890
TC_00159,CutTube,2024-03-21 02:26:00,Tube,Len:409cm
TC_00119,WeldJoint,2024-03-10 21:03:00,Tube,Batch:6890
TC_00347,CutTube,2024-01-16 13:33:00,Pallet,Len:409cm
TC_00061,HoldQA,2024-01-24 20:22:00,Tube,Batch:6890
TC_00009,PackBox,2024-03-30 09:03:00,Batch,Len:409cm
TC_00195,WeldJoint,2024-02-21 13:00:00,Pallet,Diam:13mm
TC_00441,CoatSurface,2024-02-18 06:11:00,Tube,Len:409cm
TC_00092,InspectVision,2024-03-05 22:40:00,Tube,Len:409cm
TC_00298,WeldJoint,2024-01-27 12:40:00,Batch,Len:409cm
TC_00489,ReworkWeld,2024-01-18 01:53:00,Tube,Diam:13mm
TC_00298,WeldJoint,2024-01-21 19:33:00,Pallet,Batch:6890
TC_00420,InspectVision,2024-02-25 18:31:00,Batch,Diam:13mm
TC_00277,PackBox,2024-02-05 15:43:00,Pallet,Batch:6890
TC_00267,ShipOrder,2024-03-09 16:18:00,Batch,Diam:13mm
TC_00380,ShipOrder,2024-03-29 12:10:00,Tube,Len:409cm
TC_00463,PackBox,2024-03-25 20:03:00,Tube,Diam:13mm
TC_00399,InspectVision,2024-02-16 19:41:00,Batch,Len:409cm
TC_00470,CutTube,2024-03-10 11:59:00,Pallet,Len:409cm
TC_00198,WeldJoint,2024-03-02 10:22:00,Batch,Diam:13mm
TC_00180,HoldQA,2024-01-24 21:13:00,Tube,Batch:6890
TC_00100,HoldQA,2024-03-18 07:24:00,Pallet,Batch:6890
TC_00122,WeldJoint,2024-01-31 20:06:00,Batch,Batch:6890
TC_00367,ShipOrder,2024-03-20 01:16:00,Batch,Len:409cm
TC_00207,PackBox,2024-01-08 23:44:00,Pallet,Len:409cm
TC_00366,PackBox,2024-03-11 11:11:00,Pallet,Len:409cm
TC_00223,CutTube,2024-03-11 01:56:00,Pallet,Batch:6890
TC_00433,ReworkWeld,2024-03-12 19:53:00,Batch,Diam:13mm
TC_00002,WeldJoint,2024-02-08 19:00:00,Pallet,Len:409cm
TC_00012,WeldJoint,2024-03-29 03:07:00,Pallet,Len:409cm
TC_00403,ShipOrder,2024-03-24 19:32:00,Pallet,Len:409cm
TC_00198,ShipOrder,2024-01-29 17:19:00,Batch,Len:409cm
TC_00286,PackBox,2024-02-04 14:53:00,Batch,Diam:13mm
TC_00301,PackBox,2024-03-25 04:25:00,Batch,Len:409cm
TC_00034,WeldJoint,2024-01-31 10:09:00,Batch,Len:409cm
TC_00198,ReworkWeld,2024-01-12 19:11:00,Tube,Diam:13mm
TC_00154,ShipOrder,2024-01-05 05:00:00,Batch,Diam:13mm
TC_00478,ShipOrder,2024-01-22 22:10:00,Tube,Diam:13mm
TC_00237,ReworkWeld,2024-02-22 13:53:00,Pallet,Len:409cm
TC_00140,CoatSurface,2024-01-19 04:30:00,Pallet,Diam:13mm
TC_00240,PackBox,2024-01-06 03:13:00,Batch,Len:409cm
TC_00130,WeldJoint,2024-01-05 01:34:00,Tube,Len:409cm
TC_00045,HoldQA,2024-01-23 00:39:00,Batch,Batch:6890
TC_00248,HoldQA,2024-01-10 23:05:00,Tube,Diam:13mm
TC_00068,InspectVision,2024-01-29 03:24:00,Pallet,Diam:13mm
TC_00439,ReworkWeld,2024-03-22 03:32:00,Tube,Batch:6890
TC_00307,HoldQA,2024-02-01 22:27:00,Pallet,Len:409cm
TC_00036,CoatSurface,2024-01-13 09:38:00,Pallet,Diam:13mm
TC_00112,PackBox,2024-02-08 06:20:00,Tube,Batch:6890
TC_00423,ShipOrder,2024-02-25 12:11:00,Batch,Len:409cm
TC_00261,WeldJoint,2024-01-08 08:42:00,Tube,Len:409cm
TC_00081,CutTube,2024-03-17 16:10:00,Batch,Len:409cm
TC_00263,ShipOrder,2024-03-07 13:59:00,Tube,Batch:6890
TC_00186,ReworkWeld,2024-02-06 10:29:00,Tube,Batch:6890
TC_00016,ReworkWeld,2024-01-04 21:13:00,Tube,Len:409cm
TC_00471,CoatSurface,2024-01-11 20:36:00,Tube,Batch:6890
TC_00364,CutTube,2024-02-04 15:22:00,Tube,Diam:13mm
